TABLE_NAME;DESCRIPTION;CODE;DEFINITION;OTHER
;;;;
;Agreement Role Code;;;
Agreement Role Code;Assignor;AS;The entitled party who is assigning the rights to a musical work within an agreement.;
Agreement Role Code;Acquirer;AC;The entitled party who is acquiring the rights to a musical work within an agreement.;
;;;;
;Agreement Type;;;
Agreement Type;Original Specific;OS;Agreement between the songwriter and original publisher covering a list of specific work(s);
Agreement Type;Subpublishing Specific;PS;Agreement between two publishers covering a list of specific work(s);
Agreement Type;Subpublishing General;PG;Agreement between two publishers covering all works in a catalogue;
Agreement Type;Original General;OG;Agreement between the songwriter and original publisher covering all works in a catalogue;
;;;;
;BIEM/CISAC Media Type;;See separate tab for details;
BIEM/CISAC Media Type;45 rpm 17 cm Single ;S;VINYL;
BIEM/CISAC Media Type;45 rpm 17 cm EP ;EP;VINYL;
BIEM/CISAC Media Type;45 rpm (12 inches) Maxi Single ;DS;VINYL;
BIEM/CISAC Media Type;Disco Single Remix (12 inches);RDS;VINYL;
BIEM/CISAC Media Type;Maxi Single Remix (7 inches);RMS;VINYL;
BIEM/CISAC Media Type;LP 33 rpm 17cm  EP;EPM;VINYL;
BIEM/CISAC Media Type;LP 33 rpm 25 cm ;MLP;VINYL;
BIEM/CISAC Media Type;LP 33 rpm 30 cm;LP;VINYL;
BIEM/CISAC Media Type;LP Compilation;LP2;VINYL;
BIEM/CISAC Media Type;LP identical to a CD;LP3;VINYL;
BIEM/CISAC Media Type;LP Compilation identical to a CD Compilation;LP4;VINYL;
BIEM/CISAC Media Type;CD Single 2 tracks;SCD;COMPACT DISC;
BIEM/CISAC Media Type;CD Singles 3&5 inches;CDS;COMPACT DISC;
BIEM/CISAC Media Type;CD Maxi-single;CDM;COMPACT DISC;
BIEM/CISAC Media Type;CD Maxi single remix;RCD;COMPACT DISC;
BIEM/CISAC Media Type;CD-LP (5 inches);CD;COMPACT DISC;
BIEM/CISAC Media Type;CD Compilation;CD2;COMPACT DISC;
updated by Anders Zetterlund (STIM);SACD;SA;COMPACT DISC;
BIEM/CISAC Media Type;SACD Compilation;SA2;COMPACT DISC;
BIEM/CISAC Media Type;CD Extra Single 2 tracks;CES;CD-EXTRA;
BIEM/CISAC Media Type;CD Extra Single;CXS;CD-EXTRA;
BIEM/CISAC Media Type;CD Extra Maxi Single;CXM;CD-EXTRA;
BIEM/CISAC Media Type;CD Extra Maxi Remix;RCE;CD-EXTRA;
BIEM/CISAC Media Type;CD Extra EP;CEP;CD-EXTRA;
BIEM/CISAC Media Type;CD Extra LP;CE;CD-EXTRA;
BIEM/CISAC Media Type;CD Extra Compilation;CE2;CD-EXTRA;
BIEM/CISAC Media Type;MC single;SMC;MUSICASSETTE;
BIEM/CISAC Media Type;MC single identical to a CDS;SM2;MUSICASSETTE;
BIEM/CISAC Media Type;MC maxi;MMC;MUSICASSETTE;
BIEM/CISAC Media Type;MC EP;EMC;MUSICASSETTE;
BIEM/CISAC Media Type;MC Remix;RMC;MUSICASSETTE;
BIEM/CISAC Media Type;MC;MCP;MUSICASSETTE;
BIEM/CISAC Media Type;MC LP;MC;MUSICASSETTE;
BIEM/CISAC Media Type;MC Compilation;MC2;MUSICASSETTE;
BIEM/CISAC Media Type;MC identical to a CD;MC3;MUSICASSETTE;
BIEM/CISAC Media Type;MC Compilation identical to a CD compilation;MC4;MUSICASSETTE;
BIEM/CISAC Media Type;Double MC;DMC;MUSICASSETTE;
BIEM/CISAC Media Type;MD Single/ Maxi Single;MDS;MINIDISC;
BIEM/CISAC Media Type;MD Maxi Remix;MDR;MINIDISC;
BIEM/CISAC Media Type;MD EP;MDP;MINIDISC;
BIEM/CISAC Media Type;MD;MD;MINIDISC;
BIEM/CISAC Media Type;MD Compilation;MD2;MINIDISC;
BIEM/CISAC Media Type;DCC;DC;DIGITAL COMPACT CASSETTE;
BIEM/CISAC Media Type;DCC Compilation;DC2;DIGITAL COMPACT CASSETTE;
BIEM/CISAC Media Type;DVD-Audio;DV1;DVD;
BIEM/CISAC Media Type;DVD-Video;DV2;DVD;
BIEM/CISAC Media Type;DVD-Rom;DV3;DVD;
BIEM/CISAC Media Type;DVD-Single;DV4;DVD;
BIEM/CISAC Media Type;Downloading of a title;DW;DOWNLOADING;
BIEM/CISAC Media Type;Downloading of a Single/Maxi Single;DM;DOWNLOADING;
BIEM/CISAC Media Type;Downloading of  LP;DL;DOWNLOADING;
;;;;
;BLTVR (Background, Logo, Theme, Visual, Rolled up Cue);;;
BLTVR (Background, Logo, Theme, Visual, Rolled up Cue);Background;B;Music which is dubbed in for effect. It is not seen to be heard by the actors or performers in an audio-visual work and it is not the title or signature music;
BLTVR (Background, Logo, Theme, Visual, Rolled up Cue);Logo;L;Logo Music is an aural means of identification.  It indicates the source or ownership of a product (e.g., motion picture, television series, etc.) , service or entity.  Such music is usually, but not necessarily, performed with the owner's (e.g., film producer's or distributor's)visual logo and/or trademark.;
BLTVR (Background, Logo, Theme, Visual, Rolled up Cue);Rolled up Cue;R;"Cues where the writers and ownership information are the same as each other and it is desirable to make a collated single entry. 
The individual constituent cue titles are not the same. ";
BLTVR (Background, Logo, Theme, Visual, Rolled up Cue);Theme;T;Music which is the main title music used at the start or end of the audio-visual work;
BLTVR (Background, Logo, Theme, Visual, Rolled up Cue);Visual;V;Music from an on screen performance;
;;;;
;CIS Language Code;;;
CIS Language Code;(Afan) Oromo;OM;;
CIS Language Code;Abkhazian;AB;;
CIS Language Code;Afar;AA;;
CIS Language Code;Afrikaans;AF;;
CIS Language Code;Albanian;SQ;;
CIS Language Code;Amharic;AM;;
CIS Language Code;Arabic;AR;;
CIS Language Code;Armenian;HY;;
CIS Language Code;Assamese;AS;;
CIS Language Code;Aymara;AY;;
CIS Language Code;Azerbaijani;AZ;;
CIS Language Code;Bashkir;BA;;
CIS Language Code;Basque;EU;;
CIS Language Code;Bengali;BN;;
CIS Language Code;Bhutani;DZ;;
CIS Language Code;Bihari;BH;;
CIS Language Code;Bislama;BI;;
CIS Language Code;Breton;BR;;
CIS Language Code;Bulgarian;BG;;
CIS Language Code;Burmese;MY;;
CIS Language Code;Byelorussian;BE;;
CIS Language Code;Cambodian;KM;;
CIS Language Code;Catalan;CA;;
CIS Language Code;Chinese;ZH;;
CIS Language Code;Corsican;CO;;
CIS Language Code;Croatian;HR;;
CIS Language Code;Czech;CS;;
CIS Language Code;Danish;DA;;
CIS Language Code;Dutch;NL;;
CIS Language Code;English;EN;;
CIS Language Code;Esperanto;EO;;
CIS Language Code;Estonian;ET;;
CIS Language Code;Faeroese;FO;;
CIS Language Code;Farsi;FA;;
CIS Language Code;Fiji;FJ;;
CIS Language Code;Finnish;FI;;
CIS Language Code;French;FR;;
CIS Language Code;Frisian;FY;;
CIS Language Code;Galician;GL;;
CIS Language Code;Georgian;KA;;
CIS Language Code;German;DE;;
CIS Language Code;Greek;EL;;
CIS Language Code;Greenlandic;KL;;
CIS Language Code;Guarani;GN;;
CIS Language Code;Gujarati;GU;;
CIS Language Code;Hausa;HA;;
CIS Language Code;Hawaii;HW;Added at the request of the publishers;
CIS Language Code;Hebrew;IW;;
CIS Language Code;Hindi;HI;;
CIS Language Code;Hungarian;HU;;
CIS Language Code;Icelandic;IS;;
CIS Language Code;Indonesian;IN;;
CIS Language Code;Interlingua;IA;;
CIS Language Code;Interlingue;IE;;
CIS Language Code;Inupiak;IK;;
CIS Language Code;Irish;GA;;
CIS Language Code;Italian;IT;;
CIS Language Code;Japanese;JA;;
CIS Language Code;Javanese;JW;;
CIS Language Code;Kannada;KN;;
CIS Language Code;Kashmiri;KS;;
CIS Language Code;Kazakh;KK;;
CIS Language Code;Kinyarwanda;RW;;
CIS Language Code;Kirghiz;KY;;
CIS Language Code;Kirundi;RN;;
CIS Language Code;Korean;KO;;
CIS Language Code;Kurdish;KU;;
CIS Language Code;Laothian;LO;;
CIS Language Code;Latin;LA;;
CIS Language Code;Latvian;LV;;
CIS Language Code;Lingala;LN;;
CIS Language Code;Lithuanian;LT;;
CIS Language Code;Macedonian;MK;;
CIS Language Code;Malagasy;MG;;
CIS Language Code;Malay;MS;;
CIS Language Code;Malayalam;ML;;
CIS Language Code;Maltese;MT;;
CIS Language Code;Maori;MI;;
CIS Language Code;Marathi;MR;;
CIS Language Code;Moldavian;MO;;
CIS Language Code;Mongolian;MN;;
CIS Language Code;Nauru;NA;;
CIS Language Code;Ndebele;ND;;
CIS Language Code;Nepali;NE;;
CIS Language Code;North Sotho;NS ;;
CIS Language Code;Norwegian;NO;;
CIS Language Code;Occitan;OC;;
CIS Language Code;Oriya;OR;;
CIS Language Code;Oromo;OM;;
CIS Language Code;Papiamento ;PM;native, unofficial language of the southern islands of the Netherlands Antilles-Curacao, Aruba, and Bonaire;
CIS Language Code;Pashto;PS;;
CIS Language Code;Polish;PL;;
CIS Language Code;Portuguese;PT;;
CIS Language Code;Punjabi;PA;;
CIS Language Code;Quechua;QU;;
CIS Language Code;Rhaeto-Romance;RM;;
CIS Language Code;Romanian;RO;;
CIS Language Code;Russian;RU;;
CIS Language Code;Samoan;SM;;
CIS Language Code;Sangro;SG;;
CIS Language Code;Sanskrit;SA;;
CIS Language Code;Scots Gaelic;GD;;
CIS Language Code;Serbian;SR;;
CIS Language Code;Serbo-Croatian;SH;;
CIS Language Code;Sesotho;ST;;
CIS Language Code;Setswana;TN;;
CIS Language Code;Shona;SN;;
CIS Language Code;Sindhi;SD;;
CIS Language Code;Singhalese;SI;;
CIS Language Code;Siswati;SS;;
CIS Language Code;Slovak;SK;;
CIS Language Code;Slovenian;SL;;
CIS Language Code;Somali;SO;;
CIS Language Code;Spanish;ES;;
CIS Language Code;Sudanese;SU;;
CIS Language Code;Swahili;SW;;
CIS Language Code;Swedish;SV;;
CIS Language Code;Tagalog;TL;;
CIS Language Code;Tajik;TG;;
CIS Language Code;Tamil;TA;;
CIS Language Code;Tatar;TT;;
CIS Language Code;Telugu;TE;;
CIS Language Code;Thai;TH;;
CIS Language Code;Tibetan;BO;;
CIS Language Code;Tigrinya;TI;;
CIS Language Code;Tonga;TO;;
CIS Language Code;Tsonga;TS;;
CIS Language Code;Turkish;TR;;
CIS Language Code;Turkmen;TK;;
CIS Language Code;Twi;TW;;
CIS Language Code;Ukranian;UK;;
CIS Language Code;Urdu;UR;;
CIS Language Code;Uzbek;UZ;;
CIS Language Code;Venda;VE;;
CIS Language Code;Vietnamese;VI;;
CIS Language Code;Volapuk;VO;;
CIS Language Code;Welsh;CY;;
CIS Language Code;Wolof;WO;;
CIS Language Code;Xhosa;XH;;
CIS Language Code;Yiddish;JI;;
CIS Language Code;Yoruba;YO;;
CIS Language Code;Zulu;ZU;;
;;;;
;Composite Type;;;
Composite Type;Composite of Samples;COS;A composite work containing new material and one or more samples of pre-existing recorded works.;
Composite Type;Medley;MED;A continuous and sequential combination of existing works or excerpts.;
Composite Type;Potpourri;POT;A composite work with the addition of original material which have been combined to form a new work, that has been published and printed;
Composite Type;Unspecified Composite;UCO;Works known to be a composite but where the type of composite is unknown.;
Composite Type;[Non-Composite];[blank];[Not a composite work];
;;;;
;CWR Work Type;;;
CWR Work Type;AAA (Triple A);TA;;
CWR Work Type;Adult Contemporary;AC;;
CWR Work Type;Album Oriented Rock (AOR);AR;;
CWR Work Type;Alternative Music;AL;;
CWR Work Type;Americana;AM;;
CWR Work Type;Band;BD;;
CWR Work Type;Bluegrass Music;BL;;
CWR Work Type;Children’s Music;CD;;
CWR Work Type;Classical Music;CL;;
CWR Work Type;Contemporary Christian;CC;;
CWR Work Type;Country Music;CT;;
CWR Work Type;Dance;DN;;
CWR Work Type;Film/ Television Music;FM;;
CWR Work Type;Folk Music;FK;;
CWR Work Type;Gospel (Black);BG;;
CWR Work Type;Gospel (Southern);SG;;
CWR Work Type;Jazz Music;JZ;;
CWR Work Type;Jingles;JG;;
CWR Work Type;Latin;LN;;
CWR Work Type;Latina;LA;;
CWR Work Type;New Age;NA;;
CWR Work Type;Opera;OP;;
CWR Work Type;Polka Music;PK;;
CWR Work Type;Pop Music;PP;;
CWR Work Type;Rap Music;RP;;
CWR Work Type;Rock Music;RK;;
CWR Work Type;Rhythm and Blues;RB;;
CWR Work Type;Sacred;SD;;
CWR Work Type;Symphonic;SY;;
;;;;
;Dialect;;See ISO 639-2(T);
;;;;
;Excerpt Type;;;
Excerpt Type;Movement;MOV;A principal division of a musical work.;
Excerpt Type;Unspecified Excerpt;UEX;A work that is known to be an excerpt from another work, however the type of excerpt is unknown.;
Excerpt Type;[Non-Excerpt];[blank];[Not an excerpt];
;;;;
;Instrument;;;Family
Instrument;Accordion;ACC;;Keyboard
Instrument;Alp Horn;ALP;;National/Folk
Instrument;Alto Clarinet;ACL;;Woodwind
Instrument;Alto Flute;AFL;;Woodwind
Instrument;Alto Horn;AHN;;Brass
Instrument;Alto Recorder;ARC;;Early Music
Instrument;Alto Saxophone;ASX;;Woodwind
Instrument;Alto Voice;ALT;;Voice
Instrument;Amplifier;AMP;;Electronic
Instrument;Bagpipes;BAG;;National/Folk
Instrument;Balalaika;BKA;;National/Folk
Instrument;Bamboo Flute;BBF;same as Dizi or D'Tzu;National/Folk
Instrument;Bandoneon;BDN;;Keyboard
Instrument;Banjo;BNJ;;String
Instrument;Baritone Horn;BAR;;Brass
Instrument;Baritone Saxophone;BSX;;Woodwind
Instrument;Baritone Voice;BTN;;Voice
Instrument;Baroque Flute;BQF;;Early Music
Instrument;Bass Baritone;BBT;;Voice
Instrument;Bass Clarinet;BCL;;Woodwind
Instrument;Bass Drum;BDR;;Percussion
Instrument;Bass Flute;BFT;;Woodwind
Instrument;Bass Guitar;BGT;;String
Instrument;Bass Oboe;BOB;;Woodwind
Instrument;Bass Recorder;BRC;;Early Music
Instrument;Bass Saxophone;BSP;;Woodwind
Instrument;Bass Trombone;BRT;;Brass
Instrument;Bass Voice;BSS;;Voice
Instrument;Basset Horn;BHN;;Woodwind
Instrument;Bassoon;BSN;;Woodwind
Instrument;Bells;BEL;;Percussion
Instrument;Bongos;BNG;;Percussion
Instrument;Boy Soprano;BOY;;Voice
Instrument;Bugle;BGL;;Brass
Instrument;Carillon;CAR;;Percussion
Instrument;Castanets;CST;;Percussion
Instrument;Celesta;CEL;;Keyboard
Instrument;Chimes;CHM;same as ‘tubular bells’;Percussion
Instrument;Cimbalom;CIM;;National/Folk
Instrument;Clarinet;CLR;;Woodwind
Instrument;Clavichord;CVD;;Keyboard
Instrument;Computer;COM;;Electronic
Instrument;Concertina;CNB;;Misc.
Instrument;Congas;CNG;;Percussion
Instrument;Contra Bassoon;CBN;;Woodwind
Instrument;Contrabass Clarinet;CBC;;Woodwind
Instrument;Contralto Clarinet;CCL;Same as ‘Contrabass Clarinet in Eb’;Woodwind
Instrument;Contralto Voice;CAL;;Voice
Instrument;Cornet;CNT;;Brass
Instrument;Countertenor Voice;CTN;;Voice
Instrument;Cymbals;CYM;;Percussion
Instrument;Didjeridu;DIJ;;National/Folk
Instrument;Dizi/D'Tzu;DIZ;;National/Folk
Instrument;Djembe;DJM;;National/Folk
Instrument;Double Bass;BAS;;String
Instrument;Drum;DRM;;Percussion
Instrument;Drum Kit/Drum Set;DRK;;Percussion
Instrument;Dulcimer;DUL;;National/Folk
Instrument;E-Flat Clarinet;EFC;;Woodwind
Instrument;Electric Bass Guitar;EBG;;String
Instrument;Electric Guitar;EGT;;String
Instrument;Electronic Organ;EOG;;Keyboard
Instrument;Electronics, Live;ELL;;Electronic
Instrument;Electronics, Pre-recorded;ELP;;Electronic
Instrument;English Horn;EHN;;Woodwind
Instrument;Erhu;ERH;;National/Folk
Instrument;Euphonium;EUP;;Brass
Instrument;Flugelhorn;FLG;;Brass
Instrument;Flute;FLT;;Woodwind
Instrument;French Horn;FRN;;Brass
Instrument;Glass Harmonica;GHM;;Misc.
Instrument;Glass Harp;GHP;;Misc.
Instrument;Glockenspiel;GLS;;Percussion
Instrument;Gong;GNG;;Percussion
Instrument;Guitar;GTR;;String
Instrument;Handbells;HBL;;Percussion
Instrument;Harmonica;HAR;;Misc.
Instrument;Harmonium;HRM;;Keyboard
Instrument;Harp;HRP;;String
Instrument;Harpsichord;HPS;;Early Music
Instrument;Heckelphone;HCK;;Woodwind
Instrument;Horn;HRN;;Brass
Instrument;Hurdy-Gurdy;HUR;;Early Music
Instrument;Kazoo;KAZ;;National/Folk
Instrument;Keyboard;KEY;;Keyboard
Instrument;Klavier;KLV;;Keyboard
Instrument;Koto;KOT;;National/Folk
Instrument;Lute;LUT;;Early Music
Instrument;Lyre;LYR;;Early Music
Instrument;Mandolin;MAN;;String
Instrument;Maracas;MCS;;National/Folk
Instrument;Marimba;MAR;;Percussion
Instrument;Mbira;MBR;;National/Folk
Instrument;Melodica;MEL;;Misc.
Instrument;Mezzo Soprano Voice;MEZ;;Voice
Instrument;Midi;MID;;Electronic
Instrument;Music Box;MSB;;Misc.
Instrument;Narrator/Speaker;NAR;;Voice
Instrument;Native American Flute;NAF;;National/Folk
Instrument;Natural Horn;NHN;;Early Music
Instrument;Oboe;OBO;;Woodwind
Instrument;Oboe d'Amore;OBD;;Woodwind
Instrument;Ondes Martinot;OND;;Electronic
Instrument;Organ;ORG;;Keyboard
Instrument;Pennywhistle;PWH;;National/Folk
Instrument;Percussion;PER;;Percussion
Instrument;Piano;PIA;;Keyboard
Instrument;Piccolo;PIC;;Woodwind
Instrument;Pipa;PPA;;National/Folk
Instrument;Prepared Piano;PRP;;Keyboard
Instrument;Processor;PRO;;Electronic
Instrument;Recorder;REC;;Early Music
Instrument;Ruan;RUA;;National/Folk
Instrument;Sampler;SAM;;Electronic
Instrument;Saxophone;SAX;;Woodwind
Instrument;Sequencer;SEQ;;Electronic
Instrument;Shakuhachi;SHK;;National/Folk
Instrument;Shamisen;SHM;;National/Folk
Instrument;Shawm;SHW;;Early Music
Instrument;Sho;SHO;;National/Folk
Instrument;Sitar;SIT;;National/Folk
Instrument;Snare drum;SDM;;Percussion
Instrument;Sopranino Recorder;SNR;;Early Music
Instrument;Sopranino Saxophone;SNS;;Woodwind
Instrument;Soprano Recorder;SRC;;Early Music
Instrument;Soprano Saxophone;SSX;;Woodwind
Instrument;Soprano Voice;SOP;;Voice
Instrument;Sousaphone;SOU;;Brass
Instrument;Spoons;SPO;;National/Folk
Instrument;Steel drums;STD;;Percussion
Instrument;Synthesizer;SYN;;Electronic
Instrument;Tabla;TAB;;National/Folk
Instrument;Tambour;TAM;;Percussion
Instrument;Tambourine;TMN;;Percussion
Instrument;Tamtam;TTM;;Percussion
Instrument;Tape;TAP;;Electronic
Instrument;Tenor Horn;THN;;Brass
Instrument;Tenor Recorder;TRC;;Early Music
Instrument;Tenor Saxophone;TSX;;Woodwind
Instrument;Tenor Voice;TEN;;Voice
Instrument;Theremin;THE;;Electronic
Instrument;Timpani;TIM;;Percussion
Instrument;Toy Piano;TYP;;Keyboard
Instrument;Triangle;TRI;;Percussion
Instrument;Trombone;TMB;;Brass
Instrument;Trumpet;TRM;;Brass
Instrument;Tuba;TBA;;Brass
Instrument;Ukulele;UKE;;String
Instrument;Vibraphone;VIB;;Percussion
Instrument;Video;VID;;Electronic
Instrument;Viola;VLA;;String
Instrument;Viola Da Gamba;VDG;;Early Music
Instrument;Violin;VLN;;String
Instrument;Violoncello;VCL;;String
Instrument;Voice;VOC;;Voice
Instrument;Wagner Tuba;WTB;;Brass
Instrument;Whistle;WHS;;Misc.
Instrument;Wood block;WBK;;Percussion
Instrument;Xylophone;XYL;;Percussion
Instrument;Yang Qin;YQN;;National/Folk
Instrument;Zheng;ZHG;;National/Folk
Instrument;Zither;ZIT;;National/Folk
;;;;
;Intended Purpose;;;
Intended Purpose;Commercial / Jingle / Trailer;COM;A short piece of music created for an advertisement, to introduce a programme, or to act as punctuation. ;
Intended Purpose;Film;FIL;A work originally composed for use in a film production.;
Intended Purpose;General Usage;GEN;A work originally composed for general usage;
Intended Purpose;Library Work;LIB;A work recorded for use primarily in audio-visual productions or broadcasts.  ;
Intended Purpose;Multimedia;MUL;"A work originally composed for use within a multimedia production not intended for broadcast.
Examples: CDI, CD-ROM.";
Intended Purpose;Radio;RAD;A work specifically created for use in a radio production.  ;
Intended Purpose;Television;TEL;A work specifically created for use in a television production.  ;
Intended Purpose;Theatre;THR;A work specifically created for use in a theatrical production.  ;
Intended Purpose;Video;VID;A work specifically created for use in a video production.  ;
;;;;
;Lyric Adaptation;;;
Lyric Adaptation;New ;NEW;New lyrics added to the existing lyrics;
Lyric Adaptation;Modification;MOD;Lyrics modified in the original language  ;
Lyric Adaptation;None;NON;No lyrics have been included in the work;
Lyric Adaptation;Original ;ORI;Lyrics have been used in the original form;
Lyric Adaptation;Replacement  L;REP;Lyrics have been totally replaced;
Lyric Adaptation;Addition;ADL;Lyrics added to a pre-existing instrumental work;
Lyric Adaptation;Unspecified;UNS;Details of the lyric adaptation are not known at this time;
Lyric Adaptation;Translation  ;TRA;Lyrics translated into another language  ;
;;;;
;Music Arrangement;;;
Music Arrangement;New;NEW;New music added to existing music;
Music Arrangement;Arrangement  ;ARR;A version of a work in which musical elements have been modified  ;
Music Arrangement;Addition ;ADM;Music added to a pre-existing text;
Music Arrangement;Unspecified arrangement;UNS;To be used when it is known the work is an arrangement, but no further details are available;
Music Arrangement;Original ;ORI;Music used in its original form;
;;;;
;Musical Work Distribution Category;;;
Musical Work Distribution Category;Jazz;JAZ;"Music originating in black America from the early 20th century, incorporating strands of Euro-American and African music and frequently containing improvisation.
For the use of certain societies only.  Societies who do not need “Jazz” for distribution purposes should use the code “Pop” instead.";
Musical Work Distribution Category;Popular;POP;The musical mainstream, usually song-based and melody-orientated, created for mass consumption.;
Musical Work Distribution Category;Serious;SER;Classical or art music.;
Musical Work Distribution Category;Unclassified Distribution Category;UNC;"The catch-all for societies who do not track genres; all works are paid the same regardless of genre.";
;;;;
;Publisher Type;;;
Publisher Type;Acquirer;AQ;A publisher that acquires some or all of the ownership from an Original Publisher, but yet the Original Publisher still controls the work.;
Publisher Type;Administrator;AM;An interested party that collects royalty payments on behalf of a publisher that it represents.;
Publisher Type;Income Participant;PA;A person or corporation that receives royalty payments for a work but is not a copyright owner.;
Publisher Type;Original Publisher;E;The interested party which has acquired by agreement with a composer and/or author rights in one or more works for a stipulated territory and duration.;
Publisher Type;Substituted Publisher;ES;A publisher acting on behalf of publisher or sub-publisher.;
Publisher Type;Sub Publisher;SE;The interested party which has acquired by agreement with a publisher rights in one or more works for a stipulated territory and duration.;
;;;;
;Recording Technique;;;
Recording Technique;Analogue;A;;
Recording Technique;Digital;D;;
Recording Technique;Unknown;U;;
;;;;
;Sender ID Code;;NB:  The Sender ID Codes are now held on the separate ‘Sender ID Code Table’ document.  The lastest version of this document can be downloaded from the CISAC website (www.cisac.org) and searching for ‘CWR Sender ID Code Tables’.;
;;;;
;Society Code;;;
