Language Name,Code,Unnamed: 2,*ISO-639-2 standard - http://www.loc.gov/standards/iso639-2/php/code_list.php
Afar,aar,,
Abkhazian,abk,,
Achinese,ace,,
Acoli,ach,,
Adangme,ada,,
Adyghe; Adygei,ady,,
Afro-Asiatic languages,afa,,
Afrihili,afh,,
Afrikaans,afr,,
Ainu,ain,,
Akan,aka,,
Akkadian,akk,,
Albanian,alb* / sqi,,
Aleut,ale,,
Algonquian languages,alg,,
Southern Altai,alt,,
Amharic,amh,,
Old English (ca. 450–1100),ang,,
Angika,anp,,
Apache languages,apa,,
Arabic,ara,,
Official Aramaic (700–300 BCE); Imperial Aramaic (700–300 BCE),arc,,
Aragonese,arg,,
Armenian,arm* / hye,,
Mapudungun; Mapuche,arn,,
Arapaho,arp,,
Artificial languages,art,,
Arawak,arw,,
Assamese,asm,,
Asturian; Bable; Leonese; Asturleonese,ast,,
Athapascan languages,ath,,
Australian languages,aus,,
Avaric,ava,,
Avestan,ave,,
Awadhi,awa,,
Aymara,aym,,
Azerbaijani,aze,,
Banda languages,bad,,
Bamileke languages,bai,,
Bashkir,bak,,
Baluchi,bal,,
Bambara,bam,,
Balinese,ban,,
Basque,baq* / eus,,
Basa,bas,,
Baltic languages,bat,,
Beja; Bedawiyet,bej,,
Belarusian,bel,,
Bemba,bem,,
Bengali,ben,,
Berber languages,ber,,
Bhojpuri,bho,,
Bihari languages,bih,,
Bikol,bik,,
Bini; Edo,bin,,
Bislama,bis,,
Siksika,bla,,
Bantu languages,bnt,,
Tibetan,bod / tib*,,
Bosnian,bos,,
Braj,bra,,
Breton,bre,,
Batak languages,btk,,
Buriat,bua,,
Buginese,bug,,
Bulgarian,bul,,
Burmese,bur* / mya,,
Bilin; Blin,byn,,
Caddo,cad,,
Central American Indian languages,cai,,
Galibi Carib,car,,
Catalan; Valencian,cat,,
Caucasian languages,cau,,
Cebuano,ceb,,
Celtic languages,cel,,
Czech,ces / cze*,,
Chamorro,cha,,
Chibcha,chb,,
Chechen,che,,
Chagatai,chg,,
Chinese,chi* / zho,,
Chuukese,chk,,
Mari,chm,,
Chinook jargon,chn,,
Choctaw,cho,,
Chipewyan; Dene Suline,chp,,
Cherokee,chr,,
Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic,chu,,
Chuvash,chv,,
Cheyenne,chy,,
Chamic languages,cmc,,
Montenegrin,cnr,,
Coptic,cop,,
Cornish,cor,,
Corsican,cos,,
English based Creoles and pidgins,cpe,,
French-based Creoles and pidgins,cpf,,
Portuguese-based Creoles and pidgins,cpp,,
Cree,cre,,
Crimean Tatar; Crimean Turkish,crh,,
Creoles and pidgins,crp,,
Kashubian,csb,,
Cushitic languages,cus,,
Welsh,cym / wel*,,
Czech,cze* / ces,,
Dakota,dak,,
Danish,dan,,
Dargwa,dar,,
Land Dayak languages,day,,
Delaware,del,,
Slave (Athapascan),den,,
German,deu / ger*,,
Dogrib,dgr,,
Dinka,din,,
Dhivehi; Dhivehi; Maldivian,div,,
Dogri,doi,,
Dravidian languages,dra,,
Lower Sorbian,dsb,,
Duala,dua,,
Middle Dutch (ca. 1050–1350),dum,,
Dutch; Flemish,dut* / nld,,
Dyula,dyu,,
Dzongkha,dzo,,
Efik,efi,,
Egyptian (Ancient),egy,,
Ekajuk,eka,,
Modern Greek (1453–),ell / gre*,,
Elamite,elx,,
English,eng,,
Middle English (1100–1500),enm,,
Esperanto,epo,,
Estonian,est,,
Basque,eus / baq*,,
Ewe,ewe,,
Ewondo,ewo,,
Fang,fan,,
Faroese,fao,,
Persian,fas / per*,,
Fanti,fat,,
Fijian,fij,,
Filipino; Pilipino,fil,,
Finnish,fin,,
Finno-Ugrian languages,fiu,,
Fon,fon,,
French,fra / fre*,,
French,fre* / fra,,
Middle French (ca. 1400–1600),frm,,
Old French (842–ca. 1400),fro,,
Northern Frisian,frr,,
Eastern Frisian,frs,,
Western Frisian,fry,,
Fulah,ful,,
Friulian,fur,,
Ga,gaa,,
Gayo,gay,,
Gbaya,gba,,
Germanic languages,gem,,
Georgian,geo* / kat,,
German,ger* / deu,,
Geez,gez,,
Gilbertese,gil,,
Gaelic; Scottish Gaelic,gla,,
Irish,gle,,
Galician,glg,,
Manx,glv,,
Middle High German (ca. 1050–1500),gmh,,
Old High German (ca. 750–1050),goh,,
Gondi,gon,,
Gorontalo,gor,,
Gothic,got,,
Grebo,grb,,
Ancient Greek (to 1453),grc,,
Modern Greek (1453–),gre* / ell,,
Guarani,grn,,
Swiss German; Alemannic; Alsatian,gsw,,
Gujarati,guj,,
Gwichʼin,gwi,,
Haida,hai,,
Haitian; Haitian Creole,hat,,
Hausa,hau,,
Hawaiian,haw,,
Hebrew,heb,,
Herero,her,,
Hiligaynon,hil,,
Himachali languages; Western Pahari languages,him,,
Hindi,hin,,
Hittite,hit,,
Hmong; Mong,hmn,,
Hiri Motu,hmo,,
Croatian,hrv,,
Upper Sorbian,hsb,,
Hungarian,hun,,
Hupa,hup,,
Armenian,hye / arm*,,
Iban,iba,,
Igbo,ibo,,
Icelandic,ice* / isl,,
Ido,ido,,
Sichuan Yi; Nuosu,iii,,
Ijo languages,ijo,,
Inuktitut,iku,,
Interlingue; Occidental,ile,,
Iloko,ilo,,
Interlingua (International Auxiliary Language Association),ina,,
Indic languages,inc,,
Indonesian,ind,,
Indo-European languages,ine,,
Ingush,inh,,
Inupiaq,ipk,,
Iranian languages,ira,,
Iroquoian languages,iro,,
Icelandic,isl / ice*,,
Italian,ita,,
Javanese,jav,,
Lojban,jbo,,
Japanese,jpn,,
Judeo-Persian,jpr,,
Judeo-Arabic,jrb,,
Kara-Kalpak,kaa,,
Kabyle,kab,,
Kachin; Jingpho,kac,,
Kalaallisut; Greenlandic,kal,,
Kamba,kam,,
Kannada,kan,,
Karen languages,kar,,
Kashmiri,kas,,
Georgian,kat / geo*,,
Kanuri,kau,,
Kawi,kaw,,
Kazakh,kaz,,
Kabardian,kbd,,
Khasi,kha,,
Khoisan languages,khi,,
Central Khmer,khm,,
Khotanese; Sakan,kho,,
Kikuyu; Gikuyu,kik,,
Kinyarwanda,kin,,
Kirghiz; Kyrgyz,kir,,
Kimbundu,kmb,,
Konkani,kok,,
Komi,kom,,
Kongo,kon,,
Korean,kor,,
Kosraean,kos,,
Kpelle,kpe,,
Karachay-Balkar,krc,,
Karelian,krl,,
Kru languages,kro,,
Kurukh,kru,,
Kuanyama; Kwanyama,kua,,
Kumyk,kum,,
Kurdish,kur,,
Kutenai,kut,,
Ladino,lad,,
Lahnda,lah,,
Lamba,lam,,
Lao,lao,,
Latin,lat,,
Latvian,lav,,
Lezghian,lez,,
Limburgan; Limburger; Limburgish,lim,,
Lingala,lin,,
Lithuanian,lit,,
Mongo,lol,,
Lozi,loz,,
Luxembourgish; Letzeburgesch,ltz,,
Luba-Lulua,lua,,
Luba-Katanga,lub,,
Ganda,lug,,
Luiseno,lui,,
Lunda,lun,,
Luo (Kenya and Tanzania),luo,,
Lushai,lus,,
Macedonian,mac* / mkd,,
Madurese,mad,,
Magahi,mag,,
Marshallese,mah,,
Maithili,mai,,
Makasar,mak,,
Malayalam,mal,,
Mandingo,man,,
Maori,mao* / mri,,
Austronesian languages,map,,
Marathi,mar,,
Masai,mas,,
Malay,may* / msa,,
Moksha,mdf,,
Mandar,mdr,,
Mende,men,,
Middle Irish (900–1200),mga,,
Mi'kmaq; Micmac,mic,,
Minangkabau,min,,
Uncoded languages,mis,,
Macedonian,mkd / mac*,,
Mon-Khmer languages,mkh,,
Malagasy,mlg,,
Maltese,mlt,,
Manchu,mnc,,
Manipuri,mni,,
Manobo languages,mno,,
Mohawk,moh,,
Mongolian,mon,,
Mossi,mos,,
Maori,mri / mao*,,
Malay,msa / may*,,
Multiple languages,mul,,
Munda languages,mun,,
Creek,mus,,
Mirandese,mwl,,
Marwari,mwr,,
Burmese,mya / bur*,,
Mayan languages,myn,,
Erzya,myv,,
Nahuatl languages,nah,,
North American Indian languages,nai,,
Neapolitan,nap,,
Nauru,nau,,
Navajo; Navaho,nav,,
South Ndebele,nbl,,
North Ndebele,nde,,
Ndonga,ndo,,
Low German; Low Saxon,nds,,
Nepali,nep,,
Nepal Bhasa; Newari,new,,
Nias,nia,,
Niger-Kordofanian languages,nic,,
Niuean,niu,,
Dutch; Flemish,nld / dut*,,
Norwegian Nynorsk,nno,,
Norwegian Bokmål,nob,,
Nogai,nog,,
Old Norse,non,,
Norwegian,nor,,
N'Ko,nqo,,
Pedi; Sepedi; Northern Sotho,nso,,
Nubian languages,nub,,
Classical Newari; Old Newari; Classical Nepal Bhasa,nwc,,
Chichewa; Chewa; Nyanja,nya,,
Nyamwezi,nym,,
Nyankole,nyn,,
Nyoro,nyo,,
Nzima,nzi,,
Occitan (post 1500),oci,,
Ojibwa,oji,,
Oriya,ori,,
Oromo,orm,,
Osage,osa,,
Ossetian; Ossetic,oss,,
Ottoman Turkish (1500–1928),ota,,
Otomian languages,oto,,
Papuan languages,paa,,
Pangasinan,pag,,
Pahlavi,pal,,
Pampanga; Kapampangan,pam,,
Panjabi; Punjabi,pan,,
Papiamento,pap,,
Palauan,pau,,
Old Persian (ca. 600–400 B.C.),peo,,
Persian,per* / fas,,
Philippine languages,phi,,
Phoenician,phn,,
Pali,pli,,
Polish,pol,,
Pohnpeian,pon,,
Portuguese,por,,
Prakrit languages,pra,,
Old Provençal (to 1500); Old Occitan (to 1500),pro,,
Pushto; Pashto,pus,,
Reserved for local use,qaa-qtz,,
Quechua,que,,
Rajasthani,raj,,
Rapanui,rap,,
Rarotongan; Cook Islands Maori,rar,,
Romance languages,roa,,
Romansh,roh,,
Romany,rom,,
Romanian; Moldavian; Moldovan,ron / rum*,,
Romanian; Moldavian; Moldovan,rum* / ron,,
Rundi,run,,
Aromanian; Arumanian; Macedo-Romanian,rup,,
Russian,rus,,
Sandawe,sad,,
Sango,sag,,
Yakut,sah,,
South American Indian languages,sai,,
Salishan languages,sal,,
Samaritan Aramaic,sam,,
Sanskrit,san,,
Sasak,sas,,
Santali,sat,,
Sicilian,scn,,
Scots,sco,,
Selkup,sel,,
Semitic languages,sem,,
Old Irish (to 900),sga,,
Sign languages,sgn,,
Shan,shn,,
Sidamo,sid,,
Sinhala; Sinhalese,sin,,
Siouan languages,sio,,
Sino-Tibetan languages,sit,,
Slavic languages,sla,,
Slovak,slo* / slk,,
Slovak,slk / slo*,,
Slovenian,slv,,
Southern Sami,sma,,
Northern Sami,sme,,
Sami languages,smi,,
Lule Sami,smj,,
Inari Sami,smn,,
Samoan,smo,,
Skolt Sami,sms,,
Shona,sna,,
Sindhi,snd,,
Soninke,snk,,
Sogdian,sog,,
Somali,som,,
Songhai languages,son,,
Southern Sotho,sot,,
Spanish; Castilian,spa,,
Albanian,sqi / alb*,,
Sardinian,srd,,
Sranan Tongo,srn,,
Serbian,srp,,
Serer,srr,,
Nilo-Saharan languages,ssa,,
Swati,ssw,,
Sukuma,suk,,
Sundanese,sun,,
Susu,sus,,
Sumerian,sux,,
Swahili,swa,,
Swedish,swe,,
Classical Syriac,syc,,
Syriac,syr,,
Tahitian,tah,,
Tai languages,tai,,
Tamil,tam,,
Tatar,tat,,
Telugu,tel,,
Timne,tem,,
Tereno,ter,,
Tetum,tet,,
Tajik,tgk,,
Tagalog,tgl,,
Thai,tha,,
Tibetan,tib* / bod,,
Tigre,tig,,
Tigrinya,tir,,
Tiv,tiv,,
Tokelau,tkl,,
Klingon; tlhIngan-Hol,tlh,,
Tlingit,tli,,
Tamashek,tmh,,
Tonga (Nyasa),tog,,
Tonga (Tonga Islands),ton,,
Tok Pisin,tpi,,
Tsimshian,tsi,,
Tswana,tsn,,
Tsonga,tso,,
Turkmen,tuk,,
Tumbuka,tum,,
Tupi languages,tup,,
Turkish,tur,,
Altaic languages,tut,,
Tuvalua,tvl,,
Twi,twi,,
Tuvinian,tyv,,
Udmurt,udm,,
Ugaritic,uga,,
Uighur; Uyghur,uig,,
Ukrainian,ukr,,
Umbundu,umb,,
Undetermined,und,,
Urdu,urd,,
Uzbek,uzb,,
Vai,vai,,
Venda,ven,,
Vietnamese,vie,,
Volapük,vol,,
Votic,vot,,
Wakashan languages,wak,,
Wolaitta; Wolaytta,wal,,
Waray,war,,
Washo,was,,
Welsh,wel* / cym,,
Sorbian languages,wen,,
Walloon,wln,,
Wolof,wol,,
Kalmyk; Oirat,xal,,
Xhosa,xho,,
Yao,yao,,
Yapese,yap,,
Yiddish,yid,,
Yoruba,yor,,
Yupik languages,ypk,,
Zapotec,zap,,
Blissymbols; Blissymbolics; Bliss,zbl,,
Zenaga,zen,,
Standard Moroccan Tamazight,zgh,,
Zhuang; Chuang,zha,,
Chinese,zho / chi*,,
Zande languages,znd,,
Zulu,zul,,
Zuni,zun,,
No linguistic content; Not applicable,zxx,,
Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki,zza,,
